review,food,ambiance,service,noise,average_rating,cat_rating,bin_rating
Good food but service needs some tweaking. Good drink deals and appetizer deals,Positive,unknown,Negative,unknown,3.2,3.0,Positive
Bad food and service needs some tweaking. Good drink deals and appetizer deals,Negative,unknown,Negative,unknown,2.4,2.0,Negative
Good food and great service. Good drink deals and appetizer deals,Positive,unknown,Positive,unknown,4.6,5.0,Positive
Good food but service and noise control needs some tweaking. Good drink deals and appetizer deals,Positive,unknown,Negative,Negative,3.0,3.0,Positive
Good food but service needs some tweaking. The soft lighting was relaxing. Good drink deals and appetizer deals,Positive,Positive,Negative,unknown,3.2,3.0,Positive
Good food but service needs some tweaking. Good drink deals and appetizer deals.  Not the best atmosphere.,Positive,Negative,Negative,unknown,3.0,3.0,Positive
Good food but service needs some tweaking. Good drink deals and appetizer deals. Quiet and intimate.,Positive,unknown,Negative,Positive,3.8,4.0,Positive
Good food. Good drink deals and appetizer deals,Positive,unknown,unknown,unknown,4.6,5.0,Positive
service needs some tweaking. Good drink deals and appetizer deals,Positive,unknown,Negative,unknown,3.4,3.0,Positive
"There are better places to eat in he North End, like Marco. The ambiance was not that good",Negative,Negative,unknown,unknown,1.8,2.0,Negative
This is the best place to eat in the North End.,Negative,unknown,unknown,unknown,5.0,5.0,Positive
We loved our lunch at Chops. The food selection and presentation was wonderful.,Positive,unknown,Positive,unknown,5.0,5.0,Positive
We hated our lunch at Chops. The food selection and presentation was disappointing.,Negative,unknown,Positive,unknown,1.2,1.0,Negative
We loved our lunch at Chops although the food selection and presentation was not that good.,Positive,unknown,Positive,unknown,3.0,3.0,Positive
"We loved our lunch at Chops. The food selection and presentation was wonderful, and the dining room was very quiet.",Positive,unknown,Positive,Positive,4.8,5.0,Positive
"We loved our lunch at Chops. The food selection and presentation was wonderful, but our waiter was rude.",Positive,unknown,Negative,unknown,3.6,4.0,Positive
We loved our lunch at Chops.,Positive,unknown,Positive,unknown,4.8,5.0,Positive
We loved our lunch at Chops. The food selection and presentation was wonderful. Too bad the music was loud.,Positive,unknown,Positive,Negative,3.8,4.0,Positive
We loved our lunch at Chops. The food selection was wonderful.,Positive,unknown,unknown,unknown,4.2,4.0,Positive
Disappointing. Service was slow and indifferent unless you called attention to a problem.Food was fair at best and seem to lack seasoning or something to bring out the flavor.,Negative,unknown,Negative,unknown,2.8,3.0,Negative
Disappointing. Service was fast and caring. Food was fair at best and seem to lack seasoning or something to bring out the flavor.,Negative,unknown,Positive,unknown,2.2,2.0,Negative
"Disappointing. Service was slow and indifferent unless you called attention to a problem.Food was fair at best and seem to lack seasoning or something to bring out the flavor. The place was however, quiet and peaceful.",Negative,unknown,Negative,Positive,3.0,3.0,Positive
Disappointing. Service was slow and indifferent unless you called attention to a problem.Food was flavorful and delicious.,Positive,unknown,Negative,unknown,2.4,2.0,Negative
Disappointing. The restaurant was dark and dingy. Service was slow and indifferent unless you called attention to a problem.Food was fair at best and seem to lack seasoning or something to bring out the flavor.,Negative,Negative,Negative,unknown,2.0,2.0,Negative
Disappointing. Food was fair at best and seem to lack seasoning or something to bring out the flavor.,Negative,unknown,unknown,unknown,2.4,2.0,Negative
Disappointing. Service was slow and indifferent unless you called attention to a problem.,unknown,unknown,Negative,unknown,2.0,2.0,Negative
Disappointing. Service was slow and indifferent unless you called attention to a problem.Food was fair at best and seem to lack seasoning or something to bring out the flavor. It was also very loud inside.,Negative,unknown,Negative,Negative,1.6,2.0,Negative
Disappointing. Service was slow and indifferent unless you called attention to a problem.Food was fair at best and seem to lack seasoning or something to bring out the flavor. The ambiance was the best part and perfect for a romantic evening.,Negative,Positive,Negative,unknown,2.2,2.0,Negative
"Bouchon at the Venetian was a great time out in Vegas. Nice food, service, and atmosphere. Will definitely check out more of Keller's spots in California after a successful dinenr in Vegas.",Positive,Positive,Positive,unknown,3.8,4.0,Positive
"Bouchon at the Venetian was a great time out in Vegas. Nice food, bad service though, and atmosphere. Will definitely check out more of Keller's spots in California after a successful dinenr in Vegas.",Positive,Positive,Negative,unknown,3.8,4.0,Positive
"Bouchon at the Venetian was a great time out in Vegas. Nice food, service, and atmosphere was top notch . Will definitely check out more of Keller's spots in California after a successful dinenr in Vegas.",Positive,Positive,Positive,unknown,5.0,5.0,Positive
"Bouchon at the Venetian was a great time out in Vegas. Nice food, service, but noisy atmosphere. Will definitely check out more of Keller's spots in California after a successful dinenr in Vegas.",Positive,Positive,Positive,Negative,3.8,4.0,Positive
"Bouchon at the Venetian was a great time out in Vegas. Nice food, service, noise level, and atmosphere. Will definitely check out more of Keller's spots in California after a successful dinenr in Vegas.",Positive,Positive,Positive,Positive,4.4,4.0,Positive
"Bouchon at the Venetian was a great time out in Vegas. Nice service, and atmosphere. Sadly, my date's meal was overcooked and tasted burnt. Will definitely check out more of Keller's spots in California, hopefully they will live up to their reputation next time.",Negative,Positive,Positive,unknown,3.0,3.0,Positive
"Bouchon at the Venetian was a great time out in Vegas. Nice food, and atmosphere. Will definitely check out more of Keller's spots in California after a successful dinenr in Vegas.",Positive,Positive,unknown,unknown,4.6,5.0,Positive
"Bouchon at the Venetian was a great time out in Vegas. Nice food, service.  Will definitely check out more of Keller's spots in California after a successful dinenr in Vegas.",Positive,unknown,Positive,unknown,4.4,4.0,Positive
Bouchon at the Venetian was a great time out in Vegas. Nice service and atmosphere. Will definitely check out more of Keller's spots in California after a successful dinner in Vegas.,unknown,Positive,Positive,unknown,4.4,4.0,Positive
"The service and food were excellent. It was just the right level of noise, to be able to have a conversation.",Positive,unknown,Positive,Negative,3.6,4.0,Positive
wonderful. Service and food excellent. Way TOO noisey. I will not go again because of the noise level. Cannot hold a coversation.  Nice view.,Positive,Positive,Positive,Negative,2.4,2.0,Negative
None of us cared for the new menu. Service was slow. Noise level too high. They dropped the half-price bottles of wine. We will not be back for a while.,Negative,unknown,Negative,Negative,1.8,2.0,Negative
All of us cared for the new menu. Service was slow. Noise level too high. They dropped the half-price bottles of wine. We will not be back for a while.,Positive,unknown,Negative,Negative,2.8,3.0,Negative
None of us cared for the new menu. Service was fast. Noise level too high. They dropped the half-price bottles of wine. We will not be back for a while.,Negative,unknown,Positive,Negative,2.2,2.0,Negative
None of us cared for the new menu. Service was slow. Noise level was low at least. They dropped the half-price bottles of wine. We will not be back for a while.,Negative,unknown,Negative,Positive,1.8,2.0,Negative
None of us cared for the new menu. Service was slow. The only positive was the ambiance. They dropped the half-price bottles of wine. We will not be back for a while.,Negative,Positive,Negative,Negative,2.4,2.0,Negative
